no,Article_name,DOI,Dataset,Source Code,Open source frameworks or environment,Model architecture,Software and Hardware Specification,Methods,Hyper-parameters,Randomness,Averaging result,Evaluation metrics,Resources Information,Methodological Information,Statistical Information,Randomness Information,Level 1,Level 2,Level 3,Level 4,Level 5
1,Deep learning for large scale biodiversity monitoring,https://doi.org/10.13140/RG.2.1.1051.7201,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
3,Deep learning improves acoustic biodiversity monitoring and new candidate forest frog species identification (genus Platymantis) in the Philippines,https://doi.org/10.1007/s10531-020-02107-1,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
5,"Mapping Potential Plant Species Richness over Large Areas with Deep Learning, MODIS, and Species Distribution Models",https://doi.org/10.3390/rs13132490,n,n,y,y,y,y,y,n,y,y,n,y,y,n,n,n,n,n,n
7,Automatic annotation of coral reefs using deep learning,https://doi.org/10.1109/OCEANS.2016.7761105,y,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
8,Detection and annotation of plant organs from digitised herbarium scans using deep learning,https://doi.org/10.3897/BDJ.8.e57090,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y,y,y,n,n
9,Sashimi: A toolkit for facilitating high-throughput organismal image segmentation using deep learning,https://doi.org/10.1111/2041-210X.13712,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y,y,y,n,n
10,Deep learning for detection of bird vocalisations,https://doi.org/10.48550/arXiv.1609.08408,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
12,Automatic standardized processing and identification of tropical bat calls using deep learning approaches,https://doi.org/10.1016/j.biocon.2019.108269,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
13,Image-based taxonomic classification of bulk biodiversity samples using deep learning and domain adaptation,https://doi.org/10.1101/2021.12.22.473797,n,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
14,Scene-specific convolutional neural networks for video-based biodiversity detection,https://doi.org/10.1111/2041-210X.13011,n,y,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n
16,Modelling Animal Biodiversity Using Acoustic Monitoring and Deep Learning,https://doi.org/10.1109/IJCNN52387.2021.9534195,n,n,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n
18,Whale counting in satellite and aerial images with deep learning,https://doi.org/10.1038/s41598-019-50795-9,y,n,y,y,y,y,y,n,y,y,n,y,y,n,n,n,n,n,n
19,Towards an IoT-based Deep Learning Architecture for Camera Trap Image Classification,https://doi.org/10.1109/GCAIoT51063.2020.9345858,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
20,A Deep learning method for accurate and fast identification of coral reef fishes in underwater images,https://doi.org/10.1016/j.ecoinf.2018.09.007,n,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
24,CityNet—Deep learning tools for urban ecoacoustic assessment,https://doi.org/10.1111/2041-210X.13114,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
25,Individual tree-crown detection in RGB imagery using semi-supervised deep learning neural networks,https://doi.org/10.3390/rs11111309,y,y,y,y,y,y,y,n,n,y,y,y,n,n,y,y,n,n,n
27,BatNet++: A Robust Deep Learning-Based Predicting Models for Calls Recognition,https://doi.org/10.1109/ICSGEA51094.2020.00062,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
28,An automated deep learning based satellite imagery analysis for ecology management,https://doi.org/10.1016/j.ecoinf.2021.101452,y,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
33,A new method to control error rates in automated species identification with deep learning algorithms,https://doi.org/10.1038/s41598-020-67573-7,n,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n
34,A deep learning approach to species distribution modelling,https://doi.org/10.1007/978-3-319-76445-0_10,y,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
37,Fusing shallow and deep learning for bioacoustic bird species classification,https://doi.org/10.1109/ICASSP.2017.7952134,y,n,y,y,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n
38,Bat detective—Deep learning tools for bat acoustic signal detection,https://doi.org/10.1371/journal.pcbi.1005995,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y,y,y,n,n
39,Identification of animals and recognition of their actions in wildlife videos using deep learning techniques,https://doi.org/10.1016/j.ecoinf.2021.101215,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
41,Identifying land patterns from satellite imagery in amazon rainforest using deep learning,https://doi.org/10.48550/arXiv.1809.00340,n,n,y,y,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n
42,An automated light trap to monitor moths (Lepidoptera) using computer vision-based tracking and deep learning,https://doi.org/10.3390/s21020343,n,y,y,y,n,y,y,y,y,y,n,n,y,y,n,n,n,n,n
43,Deep-learning convolutional neural networks for scattered shrub detection with google earth imagery,https://doi.org/10.48550/arXiv.1706.00917,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n
