identifier,Publication No.,CQ No.,CQ,CQ LLM Answer Processed,Evaluation,CQ Ground Truth
5_1,5,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline include multitemporal remote sensing data, such as MODIS-derived NDVI and LAI images collected in 2009, and plant species richness data from South Korea. The remote sensing data are co-registered and resampled to 30-arcseconds from 15-arcseconds of the original sources. The plant species richness data from South Korea are used to estimate potential plant species richness patterns for North Korea using a state-of-the-art DL approach. ",Right,"we estimated plant species richness in South Korea by combining the 1574 species’ suitability estimations from species distribution models at a resolution of 30-arcseconds. We then developed a DL-based species richness model using the species richness results from South Korea and a time-series of MODIS-driven NDVI and LAI, which were resampled to 30-arcseconds from 15-arcseconds of the original sources."
5_2,5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI). ", Right,"we estimated plant species richness in South Korea by combining the 1574 species’ suitability estimations from species distribution models at a resolution of 30-arcseconds. We then developed a DL-based species richness model using the species richness results from South Korea and a time-series of MODIS-driven NDVI and LAI, which were resampled to 30-arcseconds from 15-arcseconds of the original sources."
5_3,5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using remote sensing data and plant species occurrence records. The remote sensing data was collected using multitemporal Landsat 8 images, which were preprocessed using the Google Earth Engine platform. The plant species occurrence records were collected from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. These records were used to estimate the potential plant species richness for the Korean Peninsula, including North Korea, which has limited survey data. Additional Information: The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing",Partial,"To estimate species richness in South Korea, we used 183,854 occurrence records of
vascular plants, comprising 1574 species from South Korea’s Third National Ecosystem
Survey data (National Ecosystem Survey data are available at http://ecobank.nie.re.kr
(accessed on 24 June 2021)). Most species observations were recorded between 2006 and
2012. Evaluating the habitat suitability for all species located in South Korea would be
ideal for determining the potential species richness, but we required a minimum number
of 10 occurrence records for use in modeling, since small sample sizes affect the reliability
of statistical analyses [36,37]. The observation records for the 1574 species ranged from 10
to 921. We downloaded 19 bioclimatic variables at a grid resolution of 30-arcseconds (≈900
× 900 m at the equator) from the WorldClim (http://worldclim.org/ (accessed on 24 June
2021); [38]), soil variables from the Harmonized World Soil Database at a resolution of 30
arcseconds [39], and digital elevation model (DEM) with a 90 m resolution from the SRTM (http://srtm.csi.cgiar.org/) "
5_4,5,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is not openly accessible in the given article. The authors did not provide a repository link for the source code. ,Right,The source code is not openly available or accessible
5_5,5,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the following preprocessing steps were involved: 1. The MODIS-derived NDVI and LAI images collected in 2009 were co-registered. 2. Pixel-wise MLP was used to estimate species richness. 3. The missing values at different pixel locations and times due to high cloud cover were handled by using multilayer perception, which comprises more than one perceptron, which consists of an input layer to receive the signal, an output layer that makes a decision, and one in between those two. Reference(s): 65. Chollet, F. Deep Learning with R; Manning Publications: Shelter Island, NY, USA, 2018. 66. Srivastava, N. ; Hinton, G. ; Krizhevsky, A. ; Sutskever, I. ; Salakhutdinov, R. Dropout: A simple way to prevent neural networks from overﬁtting. J. Mach. Learn. Res. 2014, 15, 1929–1958. 67. Bhatnagar, S. ; Gill, L. ; Ghosh, B. Drone image segmentation using machine and deep learning for mapping raised bog vegetation communities. Remote Sens. 2020, 12, 2602. [CrossRef] 68. Kim, Y. ; Kim, H. -C. ; Han, D. ; Lee, S. ; Im, J. Prediction of monthly Arctic sea ice concentrations using satellite and reanalysis data based on convolutional neural networks. Cryosphere 2020, 14, 1083–1104. [CrossRef] 69. Korotcov, A. ; Tkachenko, V. ; Russo, D. P. ; Ekins, S. Comparison of deep learning with multiple machine learning methods and metrics using diverse drug discovery data sets. Mol. Pharm. 2017, 14, 4462–4475. [CrossRef] Joharestani, M. Z. ; Cao, C. ; Ni, X. ; Bashir, B. ; Talebiesfandarani, S. PM2. 5 prediction based on random forest, XGBoost, and deep learning using multisource remote sensing data. Atmosphere 2019, 10, 373. [CrossRef] Fernández-Delgado, M. ; Cernadas, E. ; Barro, S. ; Amorim, D. Do we need hundreds of classiﬁers to solve real world classiﬁ-cation problems? J. 2014, 15, 3133–3181. 70. 72. Korea Forest Service. The 6th National Forest Inventory and Monitoring; Korea Forest Service: Daejeon, Korea, 2016. 73. Choe, H. ; Thorne, J. H. ; Huber, P. R. ; Lee, D. ; Quinn, J. F. Assessing shortfalls and complementary conservation areas for national plant biodiversity in South Korea. PLoS ONE 2018, 13, e0190754. [CrossRef] 74. Malhi, Y. ; Franklin, J. ; Seddon, N. ; Solan, M. ; Turner, M. G. ; Field, C. B. ; Knowlton, N. Climate change and ecosystems: Threats, opportunities and solutions. Philos. Trans. Soc. B Biol. Sci. 2020, 375, 20190104. [CrossRef] Before training the deep learning model, the following preprocessing steps were involved: 1. Do we need hundreds of classiﬁers to solve real world classiﬁ- cation problems? J. [CrossRef] 10 of 20 Remote Sens. 2021, 13, 2490 Remote Sens. 2021, 13, x FOR PEER REVIEW 11 of 20 ",Right,"Among the various types of DL architectures, multilayer perceptron (MLP) is the
most practical and typical type of feedforward neural network and is effective for solving
regression problems [62]. However, MLP is now deemed insufficient for modern advanced
computer vision tasks. As an alternative, there is increased interest in convolutional
neural networks (CNNs), which are more effective at analyzing image data [63], since they
use spatial information and sparsely (partially) connected layers instead of MLP’s fully
connected layers. Although we used co-registered MODIS-derived NDVI and LAI images
collected in 2009 as inputs, there were many missing values at different pixel locations and
times due to high cloud cover. In CNN architecture, these missing values could hinder both
model training and proper inference. Therefore, in consideration of our data characteristics
and the objectives of this study, pixel-wise MLP was used to estimate species richness.
Multilayer perception comprises more than one perceptron, which consists of an input
layer to receive the signal, an output layer that makes a decision, and one in between those
two, and is capable of learning any continuous mapping function from the hierarchical
or multilayered structure of the networks."
5_6,5,6,Are there transformations or augmentations applied to the input data?,The provided context does not mention any transformations or augmentations applied to the input data. ,Wrong,"In this study, we used the 16-day composite NDVI product (MOD13A1 and MYD13A1)
at a resolution of 15 arcseconds and a combined 8-day composite LAI product (MCD15A2)
at 15 arcseconds. However, since the MCD15A2 data contain many missing values because
of high cloud cover, and to match the temporal resolution of the NDVI product, we
converted them to 16-day composite images. To be consistent with the species richness
results in South Korea, these NDVI and LAI data were then resampled at a spatial resolution
of 30 arcseconds. The data were downloaded from the Land Processes Distributed Active
Archive Center (LP DAAC; https://lpdaac.usgs.gov/ (accessed on 24 June 2021)) and
processed using the MODIS Reprojection Tool to convert the map projection and to create
mosaic images. To cover the entire Korean Peninsula, 3 images (h27v04, h27v05, and
h28v05 of MODIS’s Sinusoidal Tile Grid) were composited."
5_7,5,7,Does the paper discuss data bias or ethical implications?,"No, the paper does not discuss data bias or ethical implications. ",Wrong,"The bias (mean difference between PSRS-SDMs and
PSRDL) was calculated as 10.21, indicating that the proposed model slightly underestimated
the potential plant species richness compared with the reference S-SDMs species richness,
but the differences were small and may be handled by adjusting the slope and offset
parameters in post-processing if necessary. A remarkable Pearson’s correlation coefficient
(0.98) was achieved."
5_8,5,8,What is the architecture of the deep learning model in the pipeline?,"The deep learning model used in the pipeline is a multilayer perceptron (MLP) architecture. It is a type of feedforward neural network that is effective for solving regression problems. It comprises an input layer, an output layer, and one or more hidden layers in between. The network architecture of MLP used in this study is illustrated in Figure 3 of the document. ",Right,"Among the various types of DL architectures, multilayer perceptron (MLP) is the
most practical and typical type of feedforward neural network and is effective for solving
regression problems [62]. However, MLP is now deemed insufficient for modern advanced
computer vision tasks. As an alternative, there is increased interest in convolutional
neural networks (CNNs), which are more effective at analyzing image data [63], since they
use spatial information and sparsely (partially) connected layers instead of MLP’s fully
connected layers. Although we used co-registered MODIS-derived NDVI and LAI images
collected in 2009 as inputs, there were many missing values at different pixel locations and
times due to high cloud cover. In CNN architecture, these missing values could hinder both
model training and proper inference. Therefore, in consideration of our data characteristics
and the objectives of this study, pixel-wise MLP was used to estimate species richness.
Multilayer perception comprises more than one perceptron, which consists of an input
layer to receive the signal, an output layer that makes a decision, and one in between those
two, and is capable of learning any continuous mapping function from the hierarchical
or multilayered structure of the networks. Figure 3 illustrates the network architecture of
MLP used in this study."
5_9,5,9,How was the model selected for a specific task?,"The model was selected based on the root mean square error (RMSE) as the performance metric. The feature importance shows the extent to which the model performance decreased with random shuffling. The feature with the greatest significance in the species richness retrievals was determined using a statistical feature importance test (SFIT). The SFIT involved randomly shuffling a single feature while keeping all the other features constant, and iterating this process by changing the test variable. The feature importance was then calculated based on the decrease in model performance. ",Right,"Due to the unique characteristics of neural networks, which solve problems by ex-
ploiting the hidden relationships inherent in multiple input variables, it was difficult to
physically quantify the importance of the input variables. As an alternative, we performed
a statistical feature importance test (SFIT) to explain which feature had the greatest sig-
nificance in the species richness retrievals and to determine the optimized features in
an operational retrieval system. For the SFIT, a single feature was randomly shuffled,
while all the other features were kept constant. We iterated this process by changing the
test variable. The feature importance shows the extent to which the model performance
decreased with random shuffling. In this study, we used the root mean square error (RMSE)
as the performance metric."
5_10,5,10,What were the considerations in the model selection process?,"The model selection process considered the use of macro-ecological models and stacking species distribution models (S-SDMs) to estimate species richness. The S-SDMs approach was chosen because it combines the predictions of each species’ SDM to estimate species richness, and probability-based stacking produced unbiased richness that is closer to the true species richness. The model was then validated using independent tree plot datasets from the Korea Forest Service. ",Right,"Several modeling approaches, including macro-ecological models [50] and stacking
species distribution models (S-SDMs) [51], have been proposed for estimating species
richness. As many global species databases, such as the Global Biodiversity Information
Facility (GBIF; www.gbif.org (accessed on 24 June 2021)), eBird (https://ebird.org (accessed
on 24 June 2021) [52]), and iNaturalist (www.inaturalist.org (accessed on 24 June 2021)),
provide species’ occurrence data [14,16], S-SDMs which combine the predictions of each
species’ SDM to estimate species richness have become a common strategy in recent
studies [53]. Although there is still no agreement as to how to stack each species’ predictions,
many studies have found that probability-based (raw SDM results ranging from 0 to 1)
stacking produced unbiased richness that is closer to the true species richness."
5_11,5,11,How many models are used in the pipeline?,The pipeline uses two models: a deep learning (DL) model and a species distribution model (SDM). The DL model is used to estimate the plant species richness for both North and South Korea from the original MODIS-driven NDVI and LAI images (15-arcseconds). The SDM model is used to estimate the potential plant species richness of South Korea by combining the probability-based SDM results of the 1574 species. ,Right,"we evaluated our two model results, S-SDMs and DL species richness, by
comparing the species richness obtained from independent tree plot datasets from the
Korea Forest Service. We estimated the potential plant species richness of South Korea by combining the
probability-based SDM results of the 1574 species."
5_12,5,12,Are the models considered state-of-the-art?,"The models used in the study are not explicitly stated to be state-of-the-art. The study uses Random Forest, Support Vector Machine, and Deep Learning models, which are commonly used methods in species distribution modeling. However, the study does not mention any specific innovations or improvements in these methods that would make them state-of-the-art. ",Partial,"Studies that have investigated combinations of remote sensing and machine learning ap-
proaches to represent biodiversity include Lopatin et al. [29], who modeled vascular plant
species richness for trees, shrubs, and herbs using 12 airborne LiDAR-derived variables.
They compared the suitability of random forest (RF) and a generalized linear model (GLM),
and found that the GLM had better performance."
5_13,5,13,How is the model initialized?,The model is initialized by using the first 10% of the data for training and the remaining 90% for testing. This is a common practice in machine learning to ensure that the model is able to generalize well to new data. ,Wrong,"The output layer (y) is a value of species richness
derived from S-SDMs. At each pixel location where no missing values existed, we obtained
approximately 500,000 samples of x and y in South Korea for model training and testing. To develop a geographically more robust estimation model due to the lack of survey
data in North Korea, stacked species richness training data for South Korea were divided
into quadrants (NE, NW, SE, and SW). For each quadrant of South Korea, we developed 4
MLPs using 3 subsets as the training set and the other set as the testing set."
5_14,5,14,Are there specific weight configurations used during initialization?,The text does not provide information about specific weight configurations used during initialization. ,Partial,"We adopted the approach of using an ensemble of bivariate models for species with less than 50 occurrence records. In our study, we had 8 performed predictor variables,  so the number of all possible bivariate predictor approach combinations of using an was 28models better than standard models. We adopted the predictor approach combinations of using an was 28. We of divided the models occurrence records with randomly in half the portions of the ensemble bivariate for species less than 50 and occurrence records. In data were used in fitting and validating a model, respectively. We calculated the AUC for each bivariate model, and the AUC (area under the curve) was used to calculate Somers’ D for weighting all the possible bivariate models."
5_15,5,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training. ,Wrong,"We chose the RMSprop stochastic descent
optimizer with the default parameters [64], and a rectified linear unit (ReLU) as a nonlinear
activation function because of its promising performance in the literature [65]. Dropout
layers with a rate of 0.2 were added to each hidden layer to prevent model overfitting [66].
The L1 loss function, also known as the least absolute error, was used because it is not
sensitive to outliers and is intuitive."
5_16,5,16,What is the convergence criteria or stopping condition for the training process?,The convergence criteria or stopping condition for the training process is not specified in the given context. It is not possible to answer this question without additional information. Confidence: 85%,Right,"The convergence criteria or stopping condition for the training process is not specified in the
given context. "
5_17,5,17,Which software frameworks or libraries are used to build the model?,"The provided context does not explicitly state which software frameworks or libraries were used to build the model. However, it is mentioned that the model was built using Python. Therefore, it can be inferred that Python libraries or frameworks were used to build the model. ",Partial,"The data were downloaded from the Land Processes Distributed Active
Archive Center (LP DAAC; https://lpdaac.usgs.gov/ (accessed on 24 June 2021)) and
processed using the MODIS Reprojection Tool to convert the map projection and to create
mosaic images."
5_18,5,18,What hardware infrastructures are used for model training?,The provided context does not contain information about the hardware infrastructures used for model training. ,Wrong,"The
model score reached its maximum after approximately 5000 iterations with a NVIDIA
Titan X GPU (3584 CUDA cores)."
5_19,5,19,What hyperparameters are used in the model?,"The provided context does not explicitly state the hyperparameters used in the model. However, it does mention that the model is a deep learning model, and deep learning models typically have hyperparameters such as learning rate, batch size, number of layers, and number of neurons per layer. Without more information, it is not possible to provide a specific answer to this query. ",Wrong,"In developing DL models, there are several hyperparameters that need to be tuned prior to training the model, but there are common sets of rules or heuristics governing parameter tuning. After iterative grid search parameter tuning, using a small subset of our data, 5 hidden layers (𝐇𝑗,𝑗=1, 2, …,5) were used, and the number of neurons (n) in each hidden layer was 64, 128, 256, 128, and 64, respectively. The hidden layers were stacked one by one to transfer the input signals to the deeper layer, which could extract hidden and unknown features related to species richness.We chose the RMSprop stochastic descent optimizer with the default parameters [64], and a rectified linear unit (ReLU) as a nonlinear activation function because of its promising performance in the literature [65]. Dropout layers with a rate of 0.2 were added to each hidden layer to prevent model overfitting [66]. The L1 loss function, also known as the least absolute error, was used because it is not sensitive to outliers and is intuitive. "
5_20,5,20,Why were those specific hyperparameters selected?,"The specific hyperparameters were selected based on a grid search, where the model was trained and validated with different combinations of hyperparameters. The combination that resulted in the best performance, as measured by the root mean square error (RMSE), was selected as the final set of hyperparameters. ",Right,"To determine the best values of the hyperparameters (number of trees, maximum tree depths, and the maximum number of features) in the RF model, a grid search was used."
5_21,5,21,Are the provided hyperparameters fine-tuned?,"The provided context does not mention any fine-tuning of the hyperparameters. The hyperparameters used in the study are mentioned in the text, but there is no information about whether they were fine-tuned or not. Therefore, the answer is ""No, the provided context does not mention any fine- tuning of the hyperparameters. """,Wrong,"In developing DL models, there are several hyperparameters that need to be tuned prior to training the model, but there are common sets of rules or heuristics governing parameter tuning. After iterative grid search parameter tuning, using a small subset of our data, 5 hidden layers (𝐇𝑗,𝑗=1, 2, …,5) were used, and the number of neurons (n) in each hidden layer was 64, 128, 256, 128, and 64, respectively. The hidden layers were stacked one by one to transfer the input signals to the deeper layer, which could extract hidden and unknown features related to species richness.We chose the RMSprop stochastic descent optimizer with the default parameters [64], and a rectified linear unit (ReLU) as a nonlinear activation function because of its promising performance in the literature [65]. Dropout layers with a rate of 0.2 were added to each hidden layer to prevent model overfitting [66]. The L1 loss function, also known as the least absolute error, was used because it is not sensitive to outliers and is intuitive. "
5_22,5,22,What metrics are used to evaluate the model?,The root mean square error (RMSE) is used to evaluate the model. ,Right,"In this study, we used the root mean square error (RMSE) as the performance metric. "
5_23,5,23,Did the authors use different metrics for different problems?,"Yes, the authors used different metrics for different problems. For the statistical feature importance test (SFIT), they used the root mean square error (RMSE) as the performance metric. For the independent validation of species richness, they calculated the overall correlation and local correlations between the species richness from the independent datasets and the results from the S-SDMs and DL species richness model. For direct comparisons, the model results were used in ﬁtting and validating a model, respectively. They calculated the AUC for each bivariate model, and the AUC (area under the curve) was used to calculate Somers’ D for weighting all the possible bivariate models. Somers’ D is D = 2 × (AUC—0. 5), and bivariate models with a Somers’ D lower than 0 (i. e. , AUC < 0. 5) were not used to build the ensemble range models. Finally, the suitability of the species was averaged by constructing the ensembles of bivariate models 5 times. For the species with 50 or more occurrence records, they used all 8 predictor variables and ﬁtted the models 5 times using k-fold cross-validation with k = 5. They averaged the 5 results for the ﬁnal suitability result for each species. ",Right,"In this study, we used the root mean square error (RMSE) as the performance metric. We adopted the approach of using an ensemble of bivariate models for species with less than 50 occurrence records. In our study, we had 8 predictor variables, so the number of all possible bivariate predictor combinations was 28. We divided the occurrence records randomly in half and the portions of the data were used in fitting and validating a model, respectively. We calculated the AUC for each bivariate model, and the AUC (area under the curve) was used to calculate Somers’ D for weighting all the possible bivariate models. Somers’ D is D = 2 × (AUC—0.5), and bivariate models with a Somers’ D lower than 0 (i.e., AUC < 0.5) were not used to build the ensemble range models [48]. Finally, the suitability of the species was averaged by constructing the ensembles of bivariate models 5 times. For the species with 50 or more occurrence records, we used all 8 predictor variables and fitted the models 5 times using k-fold cross-validation [49] with k = 5. We averaged the 5 results for the final suitability result for each species."
5_24,5,24,Is there sufficient information to reproduce the deep learning pipeline?,"No, there is not sufficient information to reproduce the deep learning pipeline. The paper does not provide enough details about the deep learning pipeline, such as the architecture of the neural network, the training procedure, and the evaluation metrics used. Additionally, the code and data used in the study are not publicly available. ",Partial,"The architecture of the neural
network, the training procedure, and the evaluation metrics used are provided but the code used in the study are not publicly available."
5_25,5,25,What measures are taken to explain model predictions?,"To explain model predictions, a statistical feature importance test (SFIT) is performed. In this test, a single feature is randomly shuffled, while all the other features are kept constant. The feature importance shows the extent to which the model performance decreases with random shuffling. In this study, the root mean square error (RMSE) is used as the performance metric. ",Right,"we performed a statistical feature importance test (SFIT) to explain which feature had the greatest significance in the species richness retrievals and to determine the optimized features in an operational retrieval system. For the SFIT, a single feature was randomly shuffled, while all the other features were kept constant. We iterated this process by changing the test variable. The feature importance shows the extent to which the model performance decreased with random shuffling. In this study, we used the root mean square error (RMSE) as the performance metric. "
5_26,5,26,What is the versioning strategy for trained models?,The provided context does not contain information about the versioning strategy for trained models. ,Right,The provided context does not contain information about the versioning strategy for trained models
5_27,5,27,How are different versions of datasets managed?,"The text does not provide specific information on how different versions of datasets are managed. It mainly focuses on the use of deep learning to estimate plant species richness in the Korean Peninsula, including North Korea, by combining species distribution models and remote sensing data. ",Right,The text does not provide specific information on how different versions of datasets are managed.
5_28,5,28,How are updates to datasets documented?,"In the given context, there is no explicit mention of how updates to datasets are documented. It is possible that the method for documenting updates is not specified in the provided text. ",Right,There is no explicit mention of how updates to datasets are documented
