Publication,Mixtral_8*22b_Concepts,GPT4_Concepts,GPT3.5_Concepts,Gemini_Concepts,Mixtral_8*22b_Instances,GPT4_Instances,GPT3.5_Instances,Gemini_Instances
1,8,4,4,4,13,14,9,10
3,8,7,6,5,9,13,9,8
5,9,7,7,6,12,16,13,12
7,11,6,5,3,12,12,9,5
8,20,10,10,7,26,28,24,14
9,14,11,11,10,21,20,23,18
10,8,8,8,6,11,14,12,9
12,11,10,8,9,22,21,20,23
13,7,8,8,4,16,19,20,14
14,8,8,10,5,11,15,20,5
16,10,10,11,8,18,21,22,17
18,13,7,10,4,24,16,14,8
19,6,13,8,5,32,34,18,17
20,28,14,11,7,30,34,30,22
24,7,7,6,5,12,23,18,9
25,28,6,6,2,12,13,13,5
27,15,13,13,3,41,53,46,3
28,5,7,6,3,9,14,11,6
33,8,7,7,4,15,19,13,8
34,7,10,9,8,19,32,28,19
37,15,11,10,9,26,27,26,16
38,8,8,9,9,14,19,19,14
39,24,11,11,10,24,53,39,22
41,13,12,12,11,23,37,25,21
42,15,10,12,10,22,39,38,24
43,10,9,12,11,17,17,23,22
44,14,11,13,10,34,40,41,35
45,9,6,14,8,15,16,22,21
46,9,7,14,8,16,17,20,21
47,11,9,14,8,19,24,13,17
Total,359,267,285,202,575,720,638,445
