Publication,Mixtral_8*22b-GPT4_Concepts,Mixtral_8*22b-GPT3.5_Concepts,Mixtral_8*22b-Gemini_Concepts,GPT4-GPT3.5_Concepts,GPT4-Gemini_Concepts,GPT3.5-Gemini_Concepts,Mixtral_8*22b-GPT4_Instances,Mixtral_8*22b-GPT3.5_Instances,Mixtral_8*22b-Gemini_Instances,GPT4-GPT3.5_Instances,GPT4-Gemini_Instances,GPT3.5-Gemini_Instances
1,4/8 (50.00%),4/8 (50.00%),4/8 (50.00%),4/4 (100.00%),3/5 (60.00%),3/5 (60.00%),0/27 (0.00%),2/20 (10.00%),0/23 (0.00%),3/20 (15.00%),3/21 (14.29%),1/18 (5.56%)
3,6/9 (66.67%),6/8 (75.00%),4/9 (44.44%),6/7 (85.71%),5/7 (71.43%),4/7 (57.14%),3/19 (15.79%),3/15 (20.00%),3/14 (21.43%),5/17 (29.41%),7/14 (50.00%),4/13 (30.77%)
5,7/9 (77.78%),7/9 (77.78%),6/9 (66.67%),7/7 (100.00%),6/7 (85.71%),6/7 (85.71%),7/21 (33.33%),10/15 (66.67%),8/16 (50.00%),7/22 (31.82%),8/20 (40.00%),9/16 (56.25%)
7,5/12 (41.67%),5/11 (45.45%),3/11 (27.27%),5/6 (83.33%),3/6 (50.00%),3/5 (60.00%),3/21 (14.29%),3/18 (16.67%),3/14 (21.43%),4/17 (23.53%),5/12 (41.67%),3/11 (27.27%)
8,9/21 (42.86%),9/21 (42.86%),7/20 (35.00%),9/11 (81.82%),7/10 (70.00%),7/10 (70.00%),7/47 (14.89%),6/44 (13.64%),6/34 (17.65%),13/39 (33.33%),11/31 (35.48%),6/32 (18.75%)
9,10/15 (66.67%),9/16 (56.25%),9/15 (60.00%),10/12 (83.33%),10/11 (90.91%),9/12 (75.00%),8/33 (24.24%),12/32 (37.50%),9/30 (30.00%),10/33 (30.30%),9/29 (31.03%),10/31 (32.26%)
10,8/8 (100.00%),8/8 (100.00%),6/8 (75.00%),8/8 (100.00%),6/8 (75.00%),6/8 (75.00%),5/20 (25.00%),7/16 (43.75%),4/16 (25.00%),6/20 (30.00%),5/18 (27.78%),6/15 (40.00%)
12,10/11 (90.91%),7/12 (58.33%),8/12 (66.67%),7/11 (63.64%),7/12 (58.33%),5/12 (41.67%),18/25 (72.00%),14/28 (50.00%),11/34 (32.35%),13/28 (46.43%),13/31 (41.94%),10/33 (30.30%)
13,7/8 (87.50%),7/8 (87.50%),3/8 (37.50%),8/8 (100.00%),4/8 (50.00%),4/8 (50.00%),15/20 (75.00%),15/21 (71.43%),9/21 (42.86%),16/23 (69.57%),10/23 (43.48%),12/22 (54.55%)
14,6/10 (60.00%),7/11 (63.64%),5/8 (62.50%),8/10 (80.00%),5/8 (62.50%),5/10 (50.00%),4/22 (18.18%),2/29 (6.90%),3/13 (23.08%),8/27 (29.63%),4/16 (25.00%),1/24 (4.17%)
