Publication,GPT4,GPT3.5,Gemini,Mixtral_8*22b
1,9/14 (64.29%),7/9 (77.78%),8/10 (80.00%),4/13 (30.77%)
3,12/13 (92.31%),9/9 (100.00%),8/8 (100.00%),4/9 (44.44%)
5,12/16 (75.00%),11/13 (84.62%),11/12 (91.67%),11/12 (91.67%)
7,12/12 (100.00%),9/9 (100.00%),5/5 (100.00%),4/12 (33.33%)
8,25/28 (89.29%),19/24 (79.17%),10/14 (71.43%),11/26 (42.31%)
9,13/20 (65.00%),15/23 (65.22%),14/18 (77.78%),16/21 (76.19%)
10,14/14 (100.00%),10/12 (83.33%),9/9 (100.00%),11/11 (100.00%)
12,18/21 (85.71%),18/20 (90.00%),17/23 (73.91%),18/22 (81.82%)
13,19/19 (100.00%),19/20 (95.00%),12/14 (85.71%),16/16 (100.00%)
14,15/15 (100.00%),14/20 (70.00%),4/5 (80.00%),9/11 (81.82%)
16,15/21 (71.43%),11/22 (50.00%),16/17 (94.12%),17/18 (94.44%)
18,16/16 (100.00%),11/14 (78.57%),8/8 (100.00%),22/24 (91.67%)
19,26/34 (76.47%),14/18 (77.78%),16/17 (94.12%),29/32 (90.62%)
20,27/34 (79.41%),16/30 (53.33%),19/22 (86.36%),10/30 (33.33%)
24,17/23 (73.91%),14/18 (77.78%),8/9 (88.89%),12/12 (100.00%)
25,10/13 (76.92%),8/13 (61.54%),5/5 (100.00%),3/12 (25.00%)
27,47/53 (88.68%),42/46 (91.30%),2/3 (66.67%),19/41 (46.34%)
28,14/14 (100.00%),10/11 (90.91%),6/6 (100.00%),9/9 (100.00%)
33,14/19 (73.68%),7/13 (53.85%),5/8 (62.50%),6/15 (40.00%)
34,19/32 (59.38%),21/28 (75.00%),12/19 (63.16%),14/19 (73.68%)
37,22/27 (81.48%),18/26 (69.23%),6/16 (37.50%),6/26 (23.08%)
38,17/19 (89.47%),13/19 (68.42%),5/14 (35.71%),12/14 (85.71%)
39,38/53 (71.70%),20/39 (51.28%),9/22 (40.91%),21/24 (87.50%)
41,31/37 (83.78%),16/25 (64.00%),12/21 (57.14%),17/23 (73.91%)
42,24/39 (61.54%),22/38 (57.89%),14/24 (58.33%),14/22 (63.64%)
43,14/17 (82.35%),19/23 (82.61%),15/22 (68.18%),13/17 (76.47%)
44,36/40 (90.00%),35/41 (85.37%),17/35 (48.57%),22/34 (64.71%)
45,14/16 (87.50%),18/22 (81.82%),6/21 (28.57%),3/15 (20.00%)
46,15/17 (88.24%),15/20 (75.00%),10/21 (47.62%),11/16 (68.75%)
47,21/24 (87.50%),8/13 (61.54%),9/17 (52.94%),14/19 (73.68%)
Total,586/720 (81.39%),469/638 (73.51%),298/445 (66.97%),378/575 (65.74%)
