Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
1,1,What data formats are used in the deep learning pipeline?,The deep learning pipeline uses audio spectrogram and image data.,DataFormat,https://w3id.org/dlprovenance#DataFormat_1,audio spectrogram and image data
1,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are electronic sensors that collect audio and image data.,InputData,https://w3id.org/dlprovenance#InputData_1,audio and image data
1,3,How was raw data collected in terms of methods and tools?,"Raw data was collected using various methods and tools, such as audio and image sensors, GPS tracking devices, and high-definition imagery. The collected data was then processed and analyzed using software tools for data exploration, labeling, and auditing.",Method,https://w3id.org/dlprovenance#Method_1,audio and image sensors
1,3,How was raw data collected in terms of methods and tools?,"Raw data was collected using various methods and tools, such as audio and image sensors, GPS tracking devices, and high-definition imagery. The collected data was then processed and analyzed using software tools for data exploration, labeling, and auditing.",Method,https://w3id.org/dlprovenance#Method_2,GPS tracking devices and high-definition imagery
1,4,"Is the source code openly accessible, and if so, what is the repository link?","The source code is not openly accessible, it is proprietary to Conservation Metrics, Inc. However, they offer a cloud-based platform for conservationists to process and analyze their data.",RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,<https://www.conservationmetrics.com/platform>
1,5,What preprocessing steps are involved before training the deep learning model?,"The preprocessing steps involved before training the deep learning model include data cleaning, data normalization, data augmentation, splitting the data, feature extraction, model selection, and hyperparameter tuning.",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,"data cleaning, data normalization, data augmentation, splitting the data, feature extraction, model selection, and hyperparameter tuning"
1,6,Are there transformations or augmentations applied to the input data?,"Yes, the input data undergoes t-SNE data clustering, image cropping, contrast enhancement, consecutive frame differences, and spectrogram transformation.",TransformationAugmentation,https://w3id.org/dlprovenance#TransformationAugmentation_1,"t-SNE data clustering, image cropping around the object of interest, contrast enhancement, consecutive frame differences, and 2D spectrograms of an appropriate duration"
1,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,Bias,https://w3id.org/dlprovenance#Bias_1,data bias
1,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,"minimizing the negative ecological impacts of repeated visits to sensitive habitats by human observers, reducing the costs of transporting and sustaining field crews in remote locations, and ensuring the privacy and security of any data collected"
1,8,What is the architecture of the deep learning model in the pipeline?,The architecture of the deep learning model in the pipeline is not specified in the given text.,Architecture,https://w3id.org/dlprovenance#Architecture_1,deep convolutional neural networks (CNNs) and deep feed forward neural networks (DNNs)
1,8,What is the architecture of the deep learning model in the pipeline?,The architecture of the deep learning model in the pipeline is not specified in the given text.,Model,https://w3id.org/dlprovenance#Model_1,deep convolutional neural networks (CNNs) and deep feed forward neural networks (DNNs)
1,9,How was the model selected for a specific task?,"The model selection process is not mentioned, but CNNs and DNNs have been used to classify the presence or absence and activity rates of endangered species using audio spectrogram and image data.",Model,https://w3id.org/dlprovenance#Model_1,deep convolutional neural networks (CNNs) and deep feed forward neural networks (DNNs)
